komisi,bidang,lokasi_ID,ID_SKPD,kode_SKPD,nama_SKPD, nilai_anggaran , nilai_SP2D ,persen_SP2D, nilai_SPJ ,persen_SPJ,persen_rencana,persen_pelaksanaan
1,1,0,26,1.20.015,DINAS PEMADAM KEBAKARAN DAN PENANGGULANGAN BENCANA," 817,699,216,450 "," 157,697,075,685 ",19.29%," 138,384,671,115 ",16.92%,88.86%,83.83%
2,2,0,28,1.15.001,"DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, DAN PERDAGANGAN"," 161,363,837,842 "," 14,205,211,081 ",8.80%," 11,616,374,582 ",7.20%,92.52%,16.24%
3,2,0,33,1.20.017,DINAS PELAYANAN PAJAK," 162,797,214,083 "," 63,732,215,738 ",39.15%," 44,853,260,657 ",27.55%,76.93%,43.33%
4,4,0,34,1.03.001,DINAS PEKERJAAN UMUM," 2,589,252,367,385 "," 1,357,003,882,750 ",52.41%," 760,452,891,945 ",29.37%,39.54%,43.25%
4,4,0,37,1.05.001,DINAS PENGAWASAN DAN PENERTIBAN BANGUNAN," 29,379,859,000 "," 19,304,825,926 ",65.71%," 15,238,088,788 ",51.87%,92.49%,86.08%
2,2,0,40,1.07.008,DINAS PERHUBUNGAN," 1,456,444,883,609 "," 311,795,368,987 ",21.41%," 286,523,619,019 ",19.67%,22.07%,18.17%
4,4,0,41,1.08.004,DINAS KEBERSIHAN," 949,954,060,801 "," 518,668,304,130 ",54.60%," 506,677,281,135 ",53.34%,81.03%,72.80%
5,3,0,45,1.02.001,DINAS KESEHATAN," 210,226,824,147 "," 17,364,848,732 ",8.26%," 11,050,463,032 ",5.26%,94.39%,56.06%
5,3,0,46,1.02.005,BLUD RS Koja," 229,711,444,000 "," 115,480,302,721 ",50.27%," 114,131,534,845 ",49.68%,93.51%,88.97%
5,3,0,47,1.02.006,BLUD RS Tarakan," 197,108,314,116 "," 124,086,428,518 ",62.95%," 120,222,152,849 ",60.99%,88.21%,83.32%
5,3,0,48,1.02.008,BLUD RS Pasar Rebo," 289,674,363,917 "," 152,588,903,537 ",52.68%," 150,050,191,137 ",51.80%,73.18%,71.46%
5,3,0,49,1.02.009,BLUD RS Budhi Asih," 149,953,071,851 "," 87,885,456,097 ",58.61%," 86,427,022,569 ",57.64%,86.06%,65.44%
5,3,0,50,1.02.010,BLUD RS Duren Sawit," 63,472,716,374 "," 30,371,806,878 ",47.85%," 27,721,200,964 ",43.67%,69.51%,61.85%
5,3,0,51,1.02.007,BLUD RS Cengkareng," 203,734,278,700 "," 156,274,153,371 ",76.70%," 155,328,505,288 ",76.24%,82.11%,82.61%
5,3,0,52,1.02.002,BLUD Laboratorium Kesehatan Daerah," 20,605,840,000 "," 6,037,355,282 ",29.30%," 5,182,512,185 ",25.15%,89.49%,65.01%
5,3,0,53,1.13.001,DINAS SOSIAL," 208,037,754,000 "," 132,636,930,209 ",63.76%," 109,337,760,740 ",52.56%,91.21%,69.58%
5,3,0,54,1.18.002,DINAS OLAH RAGA DAN PEMUDA," 364,257,304,704 "," 227,545,608,104 ",62.47%," 168,372,750,523 ",46.22%,87.30%,71.35%
2,2,0,56,1.14.001,DINAS TENAGA KERJA DAN TRANSMIGRASI," 39,414,087,200 "," 34,812,870,156 ",88.33%," 25,425,782,324 ",64.51%,79.98%,78.09%
1,1,0,57,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN," 33,753,872,302 "," 31,297,362,169 ",92.72%," 20,512,019,208 ",60.77%,78.05%,85.33%
2,2,0,60,1.08.027,BLUD Taman Margasatwa Ragunan," 63,294,264,643 "," 24,341,807,638 ",38.46%," 22,870,170,138 ",36.13%,25.81%,31.03%
5,3,0,65,1.20.016,BIRO PENDIDIKAN DAN MENTAL SPIRITUAL," 28,439,698,440 "," 27,698,898,218 ",97.40%," 22,631,502,850 ",79.58%,96.77%,80.71%
2,2,0,66,1.16.002,BLUD Pengelola Kawasan PPUMKMP Pulo Gadung," 16,798,154,000 "," 5,740,527,436 ",34.17%," 5,703,643,012 ",33.95%,47.40%,16.30%
2,2,0,67,1.07.010,UPT Pengelola Perparkiran," 22,000,000,000 "," 17,448,931,954 ",79.31%," 17,448,931,954 ",79.31%,83.70%,83.70%
5,3,0,334,1.02.003,BLUD Akademi Keperawatan (AKPER) Jayakarta," 5,960,470,000 "," 4,298,620,042 ",72.12%," 4,152,920,797 ",69.67%,83.11%,79.60%
2,2,0,335,1.17.002,Monumen Nasional (Monas)," 16,830,000,000 "," 7,652,811,801 ",45.47%," 6,534,172,601 ",38.82%,25.83%,38.98%
2,2,0,336,1.17.003,Museum Sejarah," 67,260,074,674 "," 18,033,023,573 ",26.81%," 16,285,289,511 ",24.21%,36.07%,42.58%
2,2,0,337,1.17.007,Museum Wayang," 10,514,000,000 "," 8,667,612,955 ",82.44%," 7,402,793,912 ",70.41%,36.98%,69.10%
2,2,0,338,1.17.006,Museum Senirupa dan Keramik," 25,003,978,300 "," 19,958,338,519 ",79.82%," 18,355,439,066 ",73.41%,90.37%,91.93%
2,2,0,339,1.17.004,Museum Bahari," 19,689,000,000 "," 10,962,743,518 ",55.68%," 8,822,982,998 ",44.81%,14.99%,45.02%
2,2,0,340,1.17.008,Museum Joang 45," 10,425,000,000 "," 4,915,106,605 ",47.15%," 4,748,638,005 ",45.55%,49.42%,10.23%
2,2,0,341,1.17.005,Museum Tekstil," 30,890,000,000 "," 22,827,001,075 ",73.90%," 18,187,620,587 ",58.88%,57.12%,57.06%
2,2,0,342,1.17.009,Taman Arkeologi P. Onrust," 17,025,000,000 "," 8,354,147,331 ",49.07%," 7,441,753,861 ",43.71%,50.23%,43.21%
2,2,0,343,1.17.010,Balai Konservasi," 13,442,000,000 "," 5,382,958,539 ",40.05%," 4,577,875,269 ",34.06%,61.58%,56.22%
2,2,0,349,1.14.007,Pusat Pelatihan Kerja Khusus Pengembangan Las," 39,893,588,075 "," 11,107,915,056 ",27.84%," 10,217,165,056 ",25.61%,93.14%,86.29%
2,2,0,350,1.14.008,Pusat Pelatihan Kerja Pengembangan Industri," 43,697,861,000 "," 17,025,187,703 ",38.96%," 15,691,868,979 ",35.91%,42.85%,27.05%
2,2,0,351,1.14.002,Pusat Pelatihan Kerja Daerah Jakarta Pusat," 10,259,330,668 "," 5,051,750,031 ",49.24%," 3,968,439,601 ",38.68%,100.00%,71.56%
2,2,0,352,1.14.003,Pusat Pelatihan Kerja Daerah Jakarta Utara," 14,922,257,000 "," 9,440,588,176 ",63.27%," 7,056,112,376 ",47.29%,44.81%,43.85%
2,2,0,353,1.14.004,Pusat Pelatihan Kerja Daerah Jakarta Barat," 50,457,044,400 "," 21,091,790,052 ",41.80%," 20,019,454,674 ",39.68%,60.85%,55.68%
2,2,0,354,1.14.005,Pusat Pelatihan Kerja Daerah Jakarta Selatan," 12,751,700,800 "," 4,814,885,532 ",37.76%," 3,667,494,468 ",28.76%,40.79%,24.59%
2,2,0,355,1.14.006,Pusat Pelatihan Kerja Daerah Jakarta Timur," 18,830,447,980 "," 8,511,680,084 ",45.20%," 5,652,622,278 ",30.02%,39.88%,34.06%
5,3,0,356,1.13.002,PSAA Balita Tunas Bangsa," 4,453,003,940 "," 3,818,885,957 ",85.76%," 3,625,357,049 ",81.41%,61.93%,75.23%
5,3,0,357,1.13.007,PSAA Putra Utama 1," 4,023,546,000 "," 3,408,731,164 ",84.72%," 3,251,223,364 ",80.80%,53.84%,34.96%
5,3,0,358,1.13.003,PSAA Putra Utama 2," 4,208,182,500 "," 3,623,362,956 ",86.10%," 3,620,449,416 ",86.03%,82.40%,86.34%
5,3,0,359,1.13.024,PSAA Putra Utama 3," 4,748,023,500 "," 3,993,762,055 ",84.11%," 3,959,287,105 ",83.39%,56.76%,72.72%
5,3,0,360,1.13.006,PSAA Putra Utama 4," 4,906,757,000 "," 3,971,946,584 ",80.95%," 3,692,187,074 ",75.25%,47.95%,24.87%
5,3,0,361,1.13.005,PSAA Putra Utama 5," 4,052,897,250 "," 3,523,817,267 ",86.95%," 3,520,686,225 ",86.87%,36.14%,79.23%
5,3,0,362,1.13.009,PSTW Budi Mulia 1," 4,855,531,741 "," 4,219,096,684 ",86.89%," 4,122,425,142 ",84.90%,41.24%,19.04%
5,3,0,363,1.13.011,PSTW Budi Mulia 2," 6,343,230,000 "," 4,879,937,873 ",76.93%," 4,855,268,198 ",76.54%,40.21%,38.11%
5,3,0,364,1.13.012,PSTW Budi Mulia 3," 3,509,585,500 "," 3,025,392,676 ",86.20%," 2,958,137,973 ",84.29%,59.05%,88.97%
5,3,0,365,1.13.013,PSTW Budi Mulia 4," 3,701,265,500 "," 3,127,218,970 ",84.49%," 3,107,155,470 ",83.95%,46.08%,91.45%
5,3,0,366,1.13.017,PSBL Harapan Sentosa 1," 10,409,716,000 "," 8,291,225,258 ",79.65%," 7,965,652,879 ",76.52%,48.87%,73.18%
5,3,0,367,1.13.019,PSBL Harapan Sentosa 2," 8,066,505,650 "," 6,299,647,438 ",78.10%," 6,119,309,938 ",75.86%,44.86%,52.15%
5,3,0,368,1.13.020,PSBL Harapan Sentosa 3," 8,004,405,300 "," 6,774,697,539 ",84.64%," 6,635,807,324 ",82.90%,52.04%,55.52%
5,3,0,369,1.13.021,PSBI Bangun Daya 1," 5,642,986,500 "," 4,831,371,820 ",85.62%," 4,662,975,317 ",82.63%,67.56%,40.30%
5,3,0,370,1.13.022,PSBI Bangun Daya 2," 5,932,708,500 "," 4,882,119,828 ",82.29%," 4,687,124,978 ",79.00%,55.77%,62.80%
5,3,0,371,1.13.014,PSBI Bangun Daya 3," 4,300,002,500 "," 3,735,977,001 ",86.88%," 3,654,341,191 ",84.98%,55.58%,59.24%
5,3,0,372,1.13.008,PSBR Taruna Jaya," 5,178,040,500 "," 4,514,631,346 ",87.19%," 4,069,131,896 ",78.58%,29.40%,52.53%
5,3,0,373,1.13.016,PSBN Cahaya Bathin," 3,934,212,750 "," 3,640,028,501 ",92.52%," 3,374,844,001 ",85.78%,16.26%,62.18%
5,3,0,374,1.13.015,PSBD Budi Bhakti," 5,847,415,000 "," 5,313,241,699 ",90.86%," 4,130,522,499 ",70.64%,36.66%,28.16%
5,3,0,375,1.13.018,PSBG Belaian Kasih," 2,522,167,000 "," 2,253,106,273 ",89.33%," 2,178,160,073 ",86.36%,46.94%,87.61%
5,3,0,376,1.13.023,PSBK Harapan Jaya," 4,546,015,000 "," 3,826,438,478 ",84.17%," 2,782,339,477 ",61.20%,69.65%,31.89%
5,3,0,377,1.13.025,PSPP Khusnul Khotimah," 4,318,178,500 "," 3,821,931,053 ",88.51%," 3,703,295,453 ",85.76%,66.69%,89.68%
5,3,0,378,1.13.010,PSP Bhakti kasih," 2,760,232,000 "," 2,206,162,071 ",79.93%," 2,128,610,239 ",77.12%,29.43%,30.36%
5,3,0,379,1.13.026,PSBKW Harapan Mulya," 3,617,292,240 "," 3,300,122,415 ",91.23%," 3,171,934,065 ",87.69%,67.87%,79.62%
5,3,0,380,1.01.003,Planetarium dam Observatorium," 70,415,823,000 "," 9,671,573,560 ",13.73%," 8,147,235,329 ",11.57%,40.04%,24.29%
5,3,0,381,1.01.007,Pusat Pelatihan Pendidikan Kejuruan (Puslatdikjur) Jakarta Utara," 8,362,822,800 "," 5,559,423,150 ",66.48%," 4,952,118,300 ",59.22%,96.64%,95.65%
5,3,0,382,1.01.006,Pusat Pelatihan Pendidikan Kejuruan (Puslatdikjur) Jakarta Selatan," 6,918,240,000 "," 6,358,897,839 ",91.91%," 6,107,425,776 ",88.28%,96.59%,29.86%
5,3,0,383,1.01.005,Pusat Pelatihan Pendidikan Kejuruan (Puslatdikjur) Jakarta Barat," 11,709,882,000 "," 6,046,950,347 ",51.64%," 4,614,409,714 ",39.41%,36.87%,59.30%
5,3,0,384,1.01.008,Pusat Pelatihan Pendidikan Kejuruan (Puslatdikjur) Jakarta Timur," 10,772,745,880 "," 6,873,591,010 ",63.81%," 5,028,319,643 ",46.68%,51.12%,62.98%
5,3,0,385,1.01.004,Pusat Pelatihan Pendidikan Kejuruan (Puslatdikjur) Jakarta Pusat," 12,276,081,040 "," 7,244,615,100 ",59.01%," 6,669,322,005 ",54.33%,95.81%,84.98%
5,3,0,386,1.01.009,Pusat Pelatihan dan Pengembangan Pendidikan Nonformal dan Informal (P3PNFI)," 20,595,233,832 "," 13,755,217,072 ",66.79%," 8,853,351,300 ",42.99%,90.41%,47.17%
5,3,0,387,1.01.002,Pusat Pelatihan Guru dan Tenaga Kependidikan (PPGTK)," 7,839,284,680 "," 6,804,572,001 ",86.80%," 5,763,057,380 ",73.52%,18.09%,0.38%
5,3,0,701,1.02.004,Pusat Layanan Kesehatan Pegawai," 12,198,534,000 "," 5,369,957,501 ",44.02%," 4,507,899,785 ",36.95%,79.98%,79.92%
2,2,0,707,2.05.002,Balai Pengujian Mutu dan Pengolahan Hasil Perikanan," 10,087,900,750 "," 5,132,282,471 ",50.88%," 4,999,934,446 ",49.56%,33.13%,31.15%
2,2,0,708,2.05.003,UPT Pusat Budidaya Perikanan," 18,783,847,491 "," 11,954,784,930 ",63.64%," 11,571,314,006 ",61.60%,70.56%,81.88%
2,2,0,709,2.05.004,Balai Teknologi Penangkapan Ikan," 7,655,000,000 "," 6,950,735,154 ",90.80%," 6,625,357,884 ",86.55%,82.52%,92.99%
2,2,0,710,2.05.005,Balai Pelayanan Kesehatan Hewan dan Ikan," 5,892,000,000 "," 5,275,361,720 ",89.53%," 4,999,853,977 ",84.86%,77.49%,86.52%
2,2,0,711,2.05.006,Laboratorium Kesehatan Masyarakat Veteriner," 6,026,683,200 "," 4,352,208,538 ",72.22%," 4,240,481,206 ",70.36%,76.24%,78.55%
2,2,0,712,2.05.007,Pusat Teknologi Produksi dan Pengolahan Hasil Peternakan," 4,205,000,000 "," 3,028,365,178 ",72.02%," 2,808,138,778 ",66.78%,72.82%,77.55%
2,2,0,713,2.05.008,Unit Pengelola Kawasan Pelabuhan Perikanan dan Pangkalan Pendaratan Ikan," 50,000,000,000 "," 19,558,770,431 ",39.12%," 18,306,222,081 ",36.61%,56.40%,44.25%
2,2,0,714,1.17.011,UPT Graha Wisata," 3,036,000,000 "," 1,578,316,872 ",51.99%," 1,451,896,850 ",47.82%,95.31%,72.43%
2,2,0,715,1.17.012,UPT Anjungan Provinsi DKI Jakarta TMII," 4,700,000,000 "," 3,427,266,540 ",72.92%," 2,940,349,573 ",62.56%,65.50%,76.98%
2,2,0,716,1.17.013,UPT Pusat Pengembangan dan Pelayanan Informasi Pariwisata," 23,667,000,000 "," 5,220,876,685 ",22.06%," 4,650,872,385 ",19.65%,55.89%,49.57%
2,2,0,717,1.17.014,UPT Pusat Pelatihan dan Sertifikasi Kepariwisataan," 2,940,000,000 "," 2,940,000,000 ",100.00%," 2,597,465,950 ",88.35%,92.98%,89.89%
2,2,0,718,2.07.002,UPT Balai Metrologi," 35,736,506,000 "," 4,387,108,650 ",12.28%," 4,183,131,630 ",11.71%,19.37%,18.20%
2,2,0,719,2.07.003,UPT Balai Tekstil," 3,958,200,000 "," 2,992,116,427 ",75.59%," 2,266,687,639 ",57.27%,76.77%,48.15%
2,2,0,720,2.07.004,UPT Balai Kerajinan," 6,375,000,000 "," 2,316,531,000 ",36.34%," 1,233,894,013 ",19.36%,95.62%,50.69%
2,2,0,721,2.07.005,UPT Balai Bahan dan Barang Teknik," 7,728,000,000 "," 1,936,896,753 ",25.06%," 1,372,862,838 ",17.76%,88.66%,52.54%
2,2,0,722,1.15.002,UPT Balai Pendidikan dan Pelatihan Koperasi Usaha Kecil dan Menengah," 3,905,000,000 "," 2,467,660,996 ",63.19%," 2,241,206,866 ",57.39%,67.69%,67.69%
5,3,0,723,1.18.004,Gelanggang Olahraga Ragunan," 8,719,316,652 "," 7,322,987,206 ",83.99%," 6,568,313,506 ",75.33%,50.40%,77.66%
5,3,0,724,1.18.003,Gelanggang Olahraga Rawamangun," 6,581,789,280 "," 5,718,940,324 ",86.89%," 5,299,393,694 ",80.52%,28.81%,86.67%
5,3,0,725,1.18.006,Gelanggang Olahraga Bahtera Jaya," 32,390,372,600 "," 22,420,825,146 ",69.22%," 12,547,670,496 ",38.74%,60.38%,41.75%
5,3,0,726,1.18.005,Gelanggang Olahraga Sunter," 21,397,334,764 "," 6,716,867,435 ",31.39%," 5,608,654,255 ",26.21%,62.83%,60.31%
2,2,0,727,1.21.001,"UPT Pusat Pengembangan Benih Tanaman Pangan, Hortikultura dan Kehutanan"," 25,336,473,700 "," 14,477,021,348 ",57.14%," 14,099,131,532 ",55.65%,92.47%,68.84%
2,2,0,728,1.21.002,UPT Pusat Promosi dan Pemasaran Hortikultura," 25,410,000,000 "," 9,393,828,878 ",36.97%," 8,675,339,068 ",34.14%,87.06%,81.28%
2,2,0,729,1.21.003,Sekolah Pertanian Pembangunan Negeri," 3,307,000,000 "," 2,256,889,358 ",68.25%," 1,488,555,358 ",45.01%,98.76%,89.75%
2,2,0,730,1.21.004,Balai Proteksi Tanaman," 11,374,200,950 "," 7,310,597,932 ",64.27%," 6,771,815,619 ",59.54%,52.78%,67.11%
2,2,0,731,1.21.005,Pusat Perkayuan," 7,955,000,000 "," 5,499,989,044 ",69.14%," 4,997,493,574 ",62.82%,76.97%,72.36%
2,2,0,732,1.21.006,Pusat Pelayanan Peredaran Hasil Hutan," 1,125,000,000 "," 932,955,715 ",82.93%," 834,700,140 ",74.20%,79.25%,83.54%
2,2,0,733,1.21.007,Balai Pengujian Mutu Hasil Tanaman Pangan dan Hortikultura," 6,609,683,200 "," 5,196,384,418 ",78.62%," 4,945,657,468 ",74.82%,77.80%,62.71%
2,2,0,734,1.14.009,"Pusat Higiene Perusahaan, Kesehatan dan Keselamatan Kerja"," 5,441,333,000 "," 4,192,582,634 ",77.05%," 2,604,339,619 ",47.86%,77.87%,60.83%
2,2,0,735,1.14.010,Pusat Pengembangan Produktivitas Daerah," 5,121,000,000 "," 3,122,357,484 ",60.97%," 2,796,182,394 ",54.60%,86.96%,37.75%
2,2,0,736,1.14.011,Pusat Penyiapan Tenaga Kerja," 2,806,203,293 "," 2,292,209,741 ",81.68%," 1,566,819,151 ",55.83%,99.60%,100.00%
2,2,0,737,1.17.016,Balai Latihan Kesenian Jakpus," 14,821,580,000 "," 10,401,055,065 ",70.18%," 9,191,468,165 ",62.01%,41.60%,44.43%
2,2,0,738,1.17.019,Balai Latihan Kesenian Jakut," 3,728,000,000 "," 3,203,789,500 ",85.94%," 3,196,991,470 ",85.76%,89.57%,88.09%
2,2,0,739,1.17.022,Balai Latihan Kesenian Jakbar," 22,180,970,000 "," 17,845,760,400 ",80.46%," 15,124,944,930 ",68.19%,85.68%,74.82%
2,2,0,740,1.17.026,Balai Latihan Kesenian Jaksel," 21,225,000,000 "," 9,868,184,577 ",46.49%," 9,217,449,527 ",43.43%,48.49%,53.76%
2,2,0,741,1.17.028,Balai Latihan Kesenian Jaktim," 5,826,000,000 "," 4,739,822,253 ",81.36%," 2,511,397,253 ",43.11%,67.13%,60.18%
2,2,0,743,1.07.009,BLUD Transjakarta Busway," 971,945,420,000 "," 624,816,540,013 ",64.29%," 624,816,540,013 ",64.29%,97.88%,95.14%
5,3,0,744,1.02.011,BLUD Ambulan Gawat Darurat (AGD)," 36,358,201,600 "," 21,723,338,072 ",59.75%," 19,024,140,822 ",52.32%,93.04%,85.53%
5,3,0,745,1.18.007,BLUD UPT Stadion Lebak Bulus," 4,900,000,000 "," 2,110,097,631 ",43.06%," 2,110,097,631 ",43.06%,89.62%,89.62%
5,3,0,746,1.13.004,PSAA Putra Utama 6," 4,748,407,250 "," 4,045,008,405 ",85.19%," 3,086,116,905 ",64.99%,67.22%,51.81%
5,3,0,1001,1.01.001,DINAS PENDIDIKAN," 1,116,626,037,113 "," 282,094,276,439 ",25.26%," 264,373,548,392 ",23.68%,76.94%,54.97%
4,4,0,1012,1.04.001,DINAS PERUMAHAN PERMUKIMAN DAN GEDUNG PEMDA," 922,541,689,724 "," 268,796,603,475 ",29.14%," 266,816,493,715 ",28.92%,36.42%,38.75%
4,4,0,1018,1.05.002,DINAS TATA RUANG DAN PERTANAHAN," 23,445,964,750 "," 12,823,748,215 ",54.69%," 10,775,296,635 ",45.96%,92.63%,47.21%
4,4,0,1024,1.08.001,DINAS PERTAMANAN DAN PEMAKAMAN," 1,119,305,475,468 "," 184,959,405,453 ",16.52%," 139,465,578,562 ",12.46%,65.35%,26.98%
2,2,0,1030,1.17.001,DINAS PARIWISATA DAN KEBUDAYAAN," 723,274,976,408 "," 189,888,316,493 ",26.25%," 174,045,362,099 ",24.06%,50.59%,60.32%
3,2,0,1036,1.20.011,BADAN PENGELOLA KEUANGAN DAERAH," 231,006,793,666 "," 87,156,357,499 ",37.73%," 44,353,219,320 ",19.20%,63.31%,33.74%
4,4,0,1037,1.20.373,BIRO TATA RUANG DAN LINGKUNGAN HIDUP," 6,354,000,000 "," 6,319,911,775 ",99.46%," 4,260,248,949 ",67.05%,80.90%,90.63%
5,3,0,1044,1.22.001,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB"," 67,236,114,246 "," 48,519,130,162 ",72.16%," 23,898,477,513 ",35.54%,60.63%,46.88%
1,1,0,1045,1.25.001,"DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN"," 104,319,524,443 "," 22,167,678,341 ",21.25%," 19,773,026,657 ",18.95%,29.14%,48.79%
5,3,0,1046,1.26.001,BADAN PERPUSTAKAAN DAN ARSIP DAERAH," 209,488,749,872 "," 35,876,865,134 ",17.13%," 27,266,849,676 ",13.02%,76.79%,70.36%
2,2,0,1047,2.05.001,DINAS KELAUTAN DAN PERTANIAN," 188,237,986,871 "," 61,724,758,541 ",32.79%," 55,775,953,170 ",29.63%,90.29%,80.51%
2,2,0,1053,2.07.001,DINAS PERINDUSTRIAN DAN ENERGI," 658,224,581,372 "," 254,981,907,294 ",38.74%," 243,645,317,814 ",37.02%,92.11%,47.60%
2,2,0,1067,1.17.033,UPT PENATAAN DAN PENGEMBANGAN KAWASAN KOTA TUA," 9,032,000,000 "," 1,922,476,136 ",21.29%," 1,442,550,696 ",15.97%,27.35%,15.02%
2,2,0,1068,2.03.001,UPT Kelistrikan - Kep. Seribu," 20,576,820,000 "," 4,285,346,172 ",20.83%," 2,917,642,290 ",14.18%,73.77%,39.09%
2,2,0,1069,1.15.009,UPT Dana Bergulir," 12,355,000,000 "," 5,711,426,506 ",46.23%," 5,221,077,156 ",42.26%,24.19%,38.16%
3,2,0,1101,1.20.381,Unit Perbendaharaan dan Pelayanan Kas Balaikota," 1,400,000,000 "," 1,364,582,600 ",97.47%," 715,310,786 ",51.09%,97.39%,78.86%
3,2,0,1108,1.20.387,UPT Mobilisasi dan Pemeliharaan Aset," 60,644,437,030 "," 17,913,121,242 ",29.54%," 16,136,038,464 ",26.61%,10.09%,7.12%
3,2,0,1109,1.20.388,UPT Pusat Penyimpanan Barang Daerah," 18,010,000,000 "," 12,389,222,858 ",68.79%," 7,267,726,631 ",40.35%,51.09%,9.44%
5,3,0,1110,1.18.017,Gelanggang Olahraga Ciracas Jakarta Timur," 23,175,025,000 "," 8,969,907,305 ",38.71%," 8,714,080,605 ",37.60%,61.35%,66.34%
5,3,0,1111,1.18.018,Gelanggang Olahraga Cendrawasih," 11,266,903,280 "," 4,203,261,227 ",37.31%," 3,005,881,917 ",26.68%,29.85%,36.28%
5,3,0,1112,1.22.008,UPT Pusdiklat KB dan Kesetaraan Gender," 8,315,825,200 "," 5,714,946,579 ",68.72%," 4,708,658,482 ",56.62%,98.96%,60.54%
5,3,0,1113,1.13.032,PSTW Usada Mulia 5," 5,431,481,500 "," 4,997,472,591 ",92.01%," 4,831,614,923 ",88.96%,68.36%,98.70%
5,3,0,1114,1.13.033,PSBL Harapan Sentosa 4 ," 7,537,992,000 "," 6,153,944,995 ",81.64%," 5,972,839,145 ",79.24%,96.83%,71.74%
1,1,0,1201,1.20.389,Sekretariat Dewan Pengurus KORPRI Provinsi," 11,743,673,000 "," 10,891,399,367 ",92.74%," 4,151,449,770 ",35.35%,84.86%,49.56%
4,4,0,1202,1.08.029,Unit Pengolahan Limbah Septictank," 64,890,200,000 "," 4,704,003,310 ",7.25%," 3,122,892,291 ",4.81%,51.71%,70.39%
