id_skpd,wilayah,komisi,bidang,kode_skpd,nama_skpd,jenis_belanja,keterangan_belanja,nilai_anggaran
37,0,4,4,"1.05.001","DINAS PENGAWASAN DAN PENERTIBAN BANGUNAN","Anggaran Belanja Langsung","Pegawai",7.241e+09
40,0,2,2,"1.07.008","DINAS PERHUBUNGAN","Anggaran Belanja Langsung","Pegawai",1.319e+10
41,0,4,4,"1.08.004","DINAS KEBERSIHAN","Anggaran Belanja Langsung","Pegawai",3.539e+10
45,0,5,3,"1.02.001","DINAS KESEHATAN","Anggaran Belanja Langsung","Pegawai",1.958e+10
46,0,5,3,"1.02.005","BLUD RS Koja","Anggaran Belanja Langsung","Pegawai",6.867e+08
47,0,5,3,"1.02.006","BLUD RS Tarakan","Anggaran Belanja Langsung","Pegawai",1.043e+10
48,0,5,3,"1.02.008","BLUD RS Pasar Rebo","Anggaran Belanja Langsung","Pegawai",6.699e+09
49,0,5,3,"1.02.009","BLUD RS Budhi Asih","Anggaran Belanja Langsung","Pegawai",8.392e+09
50,0,5,3,"1.02.010","BLUD RS Duren Sawit","Anggaran Belanja Langsung","Pegawai",1.167e+10
51,0,5,3,"1.02.007","BLUD RS Cengkareng","Anggaran Belanja Langsung","Pegawai",1.183e+10
52,0,5,3,"1.02.002","BLUD Laboratorium Kesehatan Daerah","Anggaran Belanja Langsung","Pegawai",1.335e+09
53,0,5,3,"1.13.001","DINAS SOSIAL","Anggaran Belanja Langsung","Pegawai",1.265e+10
54,0,5,3,"1.18.002","DINAS OLAH RAGA DAN PEMUDA","Anggaran Belanja Langsung","Pegawai",4.443e+10
56,0,2,2,"1.14.001","DINAS TENAGA KERJA DAN TRANSMIGRASI","Anggaran Belanja Langsung","Pegawai",8.282e+09
57,0,1,1,"1.20.020","BADAN PENDIDIKAN DAN PELATIHAN","Anggaran Belanja Langsung","Pegawai",5.608e+09
60,0,2,2,"1.08.027","BLUD Taman Margasatwa Ragunan","Anggaran Belanja Langsung","Pegawai",2.713e+08
65,0,5,3,"1.20.016","BIRO PENDIDIKAN DAN MENTAL SPIRITUAL","Anggaran Belanja Langsung","Pegawai",3.669e+09
66,0,2,2,"1.16.002","BLUD Pengelola Kawasan PPUMKMP Pulo Gadung","Anggaran Belanja Langsung","Pegawai",5.756e+09
67,0,2,2,"1.07.010","UPT Pengelola Perparkiran","Anggaran Belanja Langsung","Pegawai",0
68,1,1,1,"1.20.021","Kota Administrasi Jakarta Pusat","Anggaran Belanja Langsung","Pegawai",1.013e+10
69,1,1,1,"1.06.002","Kantor Perencanaan Pembangunan - JAKPUS","Anggaran Belanja Langsung","Pegawai",2.991e+09
70,1,1,1,"1.20.077","Inspektorat Pembantu - JAKPUS","Anggaran Belanja Langsung","Pegawai",1.581e+09
71,1,1,1,"1.19.002","Kantor Kesatuan Bangsa dan Politik - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.179e+09
72,1,4,4,"1.08.006","Kantor Lingkungan Hidup - JAKPUS","Anggaran Belanja Langsung","Pegawai",1.870e+09
73,1,5,3,"1.22.002","Kantor Pemberdayaan Masyarakat dan Perempuan - JAKPUS","Anggaran Belanja Langsung","Pegawai",2.902e+09
74,1,1,1,"1.20.359","Satpol PP - JAKPUS","Anggaran Belanja Langsung","Pegawai",1.842e+10
75,1,1,1,"1.10.002","Sudin Kependudukan dan Catatan Sipil - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.091e+09
76,1,1,1,"1.20.076","Sudin Pemadam Kebakaran dan Penanggulangan Bencana - JAKPUS","Anggaran Belanja Langsung","Pegawai",6.877e+08
78,1,2,2,"1.15.003","Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKPUS","Anggaran Belanja Langsung","Pegawai",4.124e+08
81,1,2,2,"1.21.008","Sudin Pertanian dan Peternakan - JAKPUS","Anggaran Belanja Langsung","Pegawai",8.911e+08
82,1,2,2,"1.17.017","Sudin Pariwisata - JAKPUS","Anggaran Belanja Langsung","Pegawai",4.999e+08
83,1,3,2,"1.20.075","Sudin Pelayanan Pajak I - JAKPUS","Anggaran Belanja Langsung","Pegawai",6.676e+08
84,1,3,2,"1.20.374","Sudin Pelayanan Pajak II - JAKPUS","Anggaran Belanja Langsung","Pegawai",7.980e+08
85,1,4,4,"1.03.002","Sudin PU Jalan - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.367e+08
86,1,4,4,"1.03.003","Sudin PU Tata Air - JAKPUS","Anggaran Belanja Langsung","Pegawai",1.503e+09
89,1,4,4,"1.05.003","Sudin Pengawasan dan Penertiban Bangunan - JAKPUS","Anggaran Belanja Langsung","Pegawai",1.301e+09
90,1,4,4,"1.08.021","Sudin Pertamanan - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.566e+08
92,1,2,2,"1.07.011","Sudin Perhubungan - JAKPUS","Anggaran Belanja Langsung","Pegawai",1.590e+09
93,1,4,4,"1.08.007","Sudin Kebersihan - JAKPUS","Anggaran Belanja Langsung","Pegawai",2.540e+10
94,1,5,3,"1.01.010","Sudin Pendidikan Dasar - JAKPUS","Anggaran Belanja Langsung","Pegawai",7.956e+09
95,1,5,3,"1.01.021","Sudin Pendidikan Menengah  - JAKPUS","Anggaran Belanja Langsung","Pegawai",4.062e+10
97,1,5,3,"1.02.013","BLUD Puskesmas Kec. Tanah Abang - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.204e+09
98,1,5,3,"1.02.014","BLUD Puskesmas Kec. Menteng - JAKPUS","Anggaran Belanja Langsung","Pegawai",2.955e+09
99,1,5,3,"1.02.015","BLUD Puskesmas Kec. Senen - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.163e+09
100,1,5,3,"1.02.016","BLUD Puskesmas Kec. Cempaka Putih - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.893e+09
101,1,5,3,"1.02.017","BLUD Puskesmas Kec. Johar Baru - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.166e+09
102,1,5,3,"1.02.018","BLUD Puskesmas Kec. Kemayoran - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.187e+09
103,1,5,3,"1.02.019","BLUD Puskesmas Kec. Sawah Besar - JAKPUS","Anggaran Belanja Langsung","Pegawai",2.375e+09
104,1,5,3,"1.02.020","BLUD Puskesmas Kec. Gambir - JAKPUS","Anggaran Belanja Langsung","Pegawai",2.468e+09
106,1,5,3,"1.13.027","Sudin Sosial - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.292e+09
107,1,5,3,"1.18.008","Sudin Olah Raga dan Pemuda - JAKPUS","Anggaran Belanja Langsung","Pegawai",8.633e+09
108,1,2,2,"1.17.015","Sudin Kebudayaan - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.739e+09
109,1,2,2,"1.14.012","Sudin Tenaga Kerja dan Transmigrasi - JAKPUS","Anggaran Belanja Langsung","Pegawai",1.731e+09
110,1,1,1,"1.25.002","Sudin Komunikasi, Informatika dan Kehumasan - JAKPUS","Anggaran Belanja Langsung","Pegawai",3.812e+08
112,1,4,4,"1.05.014","Sudin Perizinan Bangunan - JAKPUS","Anggaran Belanja Langsung","Pegawai",45154000
113,1,4,4,"1.08.005","Sudin Pemakaman - JAKPUS","Anggaran Belanja Langsung","Pegawai",2.746e+09
114,1,5,3,"1.26.002","Kantor Perpustakaan dan Arsip Daerah - JAKPUS","Anggaran Belanja Langsung","Pegawai",8.345e+08
115,2,1,1,"1.20.078","Kota Administrasi Jakarta Utara","Anggaran Belanja Langsung","Pegawai",1.304e+10
116,2,1,1,"1.06.003","Kantor Perencanaan Pembangunan - JAKUT","Anggaran Belanja Langsung","Pegawai",3.425e+09
117,2,1,1,"1.20.119","Inspektorat Pembantu - JAKUT","Anggaran Belanja Langsung","Pegawai",1.742e+09
118,2,1,1,"1.19.003","Kantor Kesatuan Bangsa dan Politik - JAKUT","Anggaran Belanja Langsung","Pegawai",2.381e+09
119,2,4,4,"1.08.009","Kantor Lingkungan Hidup - JAKUT","Anggaran Belanja Langsung","Pegawai",7.479e+08
120,2,5,3,"1.22.003","Kantor Pemberdayaan Masyarakat dan Perempuan - JAKUT","Anggaran Belanja Langsung","Pegawai",2.806e+09
121,2,1,1,"1.20.360","Satpol PP - JAKUT","Anggaran Belanja Langsung","Pegawai",1.818e+10
122,2,1,1,"1.10.003","Sudin Kependudukan dan Catatan Sipil - JAKUT","Anggaran Belanja Langsung","Pegawai",2.972e+09
123,2,1,1,"1.20.118","Sudin Pemadam Kebakaran dan Penanggulangan Bencana - JAKUT","Anggaran Belanja Langsung","Pegawai",1.290e+09
125,2,2,2,"1.15.004","Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKUT","Anggaran Belanja Langsung","Pegawai",3.880e+08
127,2,2,2,"2.05.010","Sudin Peternakan, Perikanan dan Kelautan - JAKUT","Anggaran Belanja Langsung","Pegawai",7.026e+08
128,2,2,2,"1.21.009","Sudin Pertanian dan Kehutanan - JAKUT","Anggaran Belanja Langsung","Pegawai",3.976e+08
129,2,2,2,"1.17.020","Sudin Pariwisata - JAKUT","Anggaran Belanja Langsung","Pegawai",3.578e+08
130,2,3,2,"1.20.117","Sudin Pelayanan Pajak I - JAKUT","Anggaran Belanja Langsung","Pegawai",5.156e+08
131,2,3,2,"1.20.375","Sudin Pelayanan Pajak II - JAKUT","Anggaran Belanja Langsung","Pegawai",5.076e+08
132,2,4,4,"1.03.004","Sudin PU Jalan - JAKUT","Anggaran Belanja Langsung","Pegawai",1.121e+09
133,2,4,4,"1.03.005","Sudin PU Tata Air - JAKUT","Anggaran Belanja Langsung","Pegawai",1.314e+09
136,2,4,4,"1.05.005","Sudin Pengawasan dan Penertiban Bangunan - JAKUT","Anggaran Belanja Langsung","Pegawai",1.481e+09
137,2,4,4,"1.08.022","Sudin Pertamanan - JAKUT","Anggaran Belanja Langsung","Pegawai",3.718e+08
139,2,2,2,"1.07.012","Sudin Perhubungan - JAKUT","Anggaran Belanja Langsung","Pegawai",1.643e+08
140,2,4,4,"1.08.010","Sudin Kebersihan - JAKUT","Anggaran Belanja Langsung","Pegawai",2.093e+10
141,2,5,3,"1.01.011","Sudin Pendidikan Dasar - JAKUT","Anggaran Belanja Langsung","Pegawai",8.134e+09
142,2,5,3,"1.01.022","Sudin Pendidikan Menengah   - JAKUT","Anggaran Belanja Langsung","Pegawai",4.309e+10
144,2,5,3,"1.02.022","BLUD Puskesmas Kec. Penjaringan - JAKUT","Anggaran Belanja Langsung","Pegawai",3.805e+09
145,2,5,3,"1.02.023","BLUD Puskesmas Kec. Pademangan - JAKUT","Anggaran Belanja Langsung","Pegawai",2.545e+09
146,2,5,3,"1.02.024","BLUD Puskesmas Kec. Tanjung Priok - JAKUT","Anggaran Belanja Langsung","Pegawai",3.744e+09
147,2,5,3,"1.02.025","BLUD Puskesmas Kec. Koja - JAKUT","Anggaran Belanja Langsung","Pegawai",5.636e+09
148,2,5,3,"1.02.026","BLUD Puskesmas Kec. Kelapa Gading - JAKUT","Anggaran Belanja Langsung","Pegawai",3.003e+09
149,2,5,3,"1.02.027","BLUD Puskesmas Kec. Cilincing - JAKUT","Anggaran Belanja Langsung","Pegawai",5.569e+09
151,2,5,3,"1.13.028","Sudin Sosial - JAKUT","Anggaran Belanja Langsung","Pegawai",3.809e+09
152,2,5,3,"1.18.010","Sudin Olah Raga dan Pemuda - JAKUT","Anggaran Belanja Langsung","Pegawai",4.764e+09
153,2,2,2,"1.17.018","Sudin Kebudayaan - JAKUT","Anggaran Belanja Langsung","Pegawai",1.401e+09
154,2,2,2,"1.14.013","Sudin Tenaga Kerja dan Transmigrasi - JAKUT","Anggaran Belanja Langsung","Pegawai",5.666e+08
155,2,1,1,"1.25.003","Sudin Komunikasi, Informatika dan Kehumasan - JAKUT","Anggaran Belanja Langsung","Pegawai",1.130e+09
157,2,4,4,"1.05.015","Sudin Perizinan Bangunan - JAKUT","Anggaran Belanja Langsung","Pegawai",1.728e+08
158,2,4,4,"1.08.008","Sudin Pemakaman - JAKUT","Anggaran Belanja Langsung","Pegawai",2.432e+09
159,2,5,3,"1.26.003","Kantor Perpustakaan dan Arsip Daerah - JAKUT","Anggaran Belanja Langsung","Pegawai",7.076e+08
160,3,1,1,"1.20.120","Kota Administrasi Jakarta Barat","Anggaran Belanja Langsung","Pegawai",6.661e+09
161,3,1,1,"1.06.004","Kantor Perencanaan Pembangunan - JAKBAR","Anggaran Belanja Langsung","Pegawai",2.320e+09
162,3,1,1,"1.20.365","Inspektorat Pembantu - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.950e+09
163,3,1,1,"1.19.004","Kantor Kesatuan Bangsa dan Politik - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.677e+09
164,3,4,4,"1.08.012","Kantor Lingkungan Hidup - JAKBAR","Anggaran Belanja Langsung","Pegawai",6.942e+08
165,3,5,3,"1.22.004","Kantor Pemberdayaan Masyarakat dan Perempuan - JAKBAR","Anggaran Belanja Langsung","Pegawai",2.756e+09
166,3,1,1,"1.20.361","Satpol PP - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.903e+10
167,3,1,1,"1.10.004","Sudin Kependudukan dan Catatan Sipil - JAKBAR","Anggaran Belanja Langsung","Pegawai",3.504e+09
168,3,1,1,"1.20.187","Sudin Pemadam Kebakaran dan Penanggulangan Bencana - JAKBAR","Anggaran Belanja Langsung","Pegawai",7.804e+08
170,3,2,2,"1.15.005","Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.986e+08
172,3,2,2,"2.05.011","Sudin Peternakan dan Perikanan - JAKBAR","Anggaran Belanja Langsung","Pegawai",5.038e+08
173,3,2,2,"1.21.010","Sudin Pertanian dan Kehutanan - JAKBAR","Anggaran Belanja Langsung","Pegawai",2.899e+08
174,3,2,2,"1.17.023","Sudin Pariwisata - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.158e+09
175,3,3,2,"1.20.186","Sudin Pelayanan Pajak I - JAKBAR","Anggaran Belanja Langsung","Pegawai",6.812e+08
176,3,3,2,"1.20.376","Sudin Pelayanan Pajak II - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.897e+08
177,3,4,4,"1.03.006","Sudin PU Jalan - JAKBAR","Anggaran Belanja Langsung","Pegawai",0
178,3,4,4,"1.03.007","Sudin PU Tata Air - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.946e+09
181,3,4,4,"1.05.007","Sudin Pengawasan dan Penertiban Bangunan - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.746e+09
182,3,4,4,"1.08.023","Sudin Pertamanan - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.445e+08
184,3,2,2,"1.07.013","Sudin Perhubungan - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.503e+08
185,3,4,4,"1.08.013","Sudin Kebersihan - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.752e+10
186,3,5,3,"1.01.012","Sudin Pendidikan Dasar - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.223e+10
187,3,5,3,"1.01.023","Sudin Pendidikan Menengah - JAKBAR","Anggaran Belanja Langsung","Pegawai",5.113e+10
189,3,5,3,"1.02.029","BLUD Puskesmas Kec. Kebon Jeruk - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.723e+09
190,3,5,3,"1.02.030","BLUD Puskesmas Kec. Kembangan - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.788e+09
191,3,5,3,"1.02.031","BLUD Puskesmas Kec. Cengkareng - JAKBAR","Anggaran Belanja Langsung","Pegawai",5.644e+09
192,3,5,3,"1.02.032","BLUD Puskesmas Kec. Kalideres - JAKBAR","Anggaran Belanja Langsung","Pegawai",6.444e+09
193,3,5,3,"1.02.033","BLUD Puskesmas Kec. Grogol Petamburan - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.899e+09
194,3,5,3,"1.02.034","BLUD Puskesmas Kec. Pal Merah - JAKBAR","Anggaran Belanja Langsung","Pegawai",4.223e+09
195,3,5,3,"1.02.035","BLUD Puskesmas Kec. Tambora - JAKBAR","Anggaran Belanja Langsung","Pegawai",5.869e+09
196,3,5,3,"1.02.036","BLUD Puskesmas Kec. Taman Sari - JAKBAR","Anggaran Belanja Langsung","Pegawai",3.985e+09
198,3,5,3,"1.13.029","Sudin Sosial - JAKBAR","Anggaran Belanja Langsung","Pegawai",5.069e+09
199,3,5,3,"1.18.012","Sudin Olah Raga dan Pemuda - JAKBAR","Anggaran Belanja Langsung","Pegawai",8.432e+09
200,3,2,2,"1.17.021","Sudin Kebudayaan - JAKBAR","Anggaran Belanja Langsung","Pegawai",2.163e+09
201,3,2,2,"1.14.014","Sudin Tenaga Kerja dan Transmigrasi - JAKBAR","Anggaran Belanja Langsung","Pegawai",1.246e+09
202,3,1,1,"1.25.004","Sudin Komunikasi, Informatika dan Kehumasan - JAKBAR","Anggaran Belanja Langsung","Pegawai",8.746e+08
204,3,4,4,"1.05.016","Sudin Perizinan Bangunan - JAKBAR","Anggaran Belanja Langsung","Pegawai",37130000
205,3,4,4,"1.08.011","Sudin Pemakaman - JAKBAR","Anggaran Belanja Langsung","Pegawai",3.704e+09
206,3,5,3,"1.26.004","Kantor Perpustakaan dan Arsip Daerah - JAKBAR","Anggaran Belanja Langsung","Pegawai",7.470e+08
207,4,1,1,"1.20.190","Kota Administrasi Jakarta Selatan","Anggaran Belanja Langsung","Pegawai",6.149e+09
208,4,1,1,"1.06.005","Kantor Perencanaan Pembangunan - JAKSEL","Anggaran Belanja Langsung","Pegawai",2.613e+09
209,4,1,1,"1.20.188","Inspektorat Pembantu - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.694e+09
210,4,1,1,"1.19.005","Kantor Kesatuan Bangsa dan Politik - JAKSEL","Anggaran Belanja Langsung","Pegawai",2.727e+09
211,4,4,4,"1.08.015","Kantor Lingkungan Hidup - JAKSEL","Anggaran Belanja Langsung","Pegawai",6.281e+08
212,4,5,3,"1.22.005","Kantor Pemberdayaan Masyarakat dan Perempuan - JAKSEL","Anggaran Belanja Langsung","Pegawai",2.030e+09
213,4,1,1,"1.20.267","Satpol PP - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.855e+10
214,4,1,1,"1.10.005","Sudin Kependudukan dan Catatan Sipil - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.888e+09
215,4,1,1,"1.20.268","Sudin Pemadam Kebakaran dan Penanggulangan Bencana - JAKSEL","Anggaran Belanja Langsung","Pegawai",8.761e+08
217,4,2,2,"1.15.006","Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.087e+08
219,4,2,2,"2.05.012","Sudin Peternakan dan Perikanan - JAKSEL","Anggaran Belanja Langsung","Pegawai",2.290e+08
220,4,2,2,"1.21.011","Sudin Pertanian dan Kehutanan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.757e+08
221,4,2,2,"1.17.031","Sudin Pariwisata - JAKSEL","Anggaran Belanja Langsung","Pegawai",4.087e+08
222,4,3,2,"1.20.266","Sudin Pelayanan Pajak I - JAKSEL","Anggaran Belanja Langsung","Pegawai",4.242e+08
223,4,3,2,"1.20.377","Sudin Pelayanan Pajak II - JAKSEL","Anggaran Belanja Langsung","Pegawai",7.259e+08
224,4,4,4,"1.03.008","Sudin PU. I ( Jalan dan Jembatan ) - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.098e+09
225,4,4,4,"1.03.009","Sudin PU. II ( Tata Air ) - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.792e+09
228,4,4,4,"1.05.009","Sudin Pengawasan dan Penertiban Bangunan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.185e+09
229,4,4,4,"1.08.024","Sudin Pertamanan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.766e+08
231,4,2,2,"1.07.014","Sudin Perhubungan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.982e+08
232,4,4,4,"1.08.016","Sudin Kebersihan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.939e+10
233,4,5,3,"1.01.018","Sudin Pendidikan Dasar - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.881e+10
234,4,5,3,"1.01.024","Sudin Pendidikan Menengah - JAKSEL","Anggaran Belanja Langsung","Pegawai",7.750e+10
236,4,5,3,"1.02.038","BLUD Puskesmas Kec. Kebayoran Lama - JAKSEL","Anggaran Belanja Langsung","Pegawai",4.766e+09
237,4,5,3,"1.02.039","BLUD Puskesmas Kec. Pesanggrahan - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.056e+09
238,4,5,3,"1.02.040","BLUD Puskesmas Kec. Pasar Minggu - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.780e+09
239,4,5,3,"1.02.041","BLUD Puskesmas Kec. Jagakarsa - JAKSEL","Anggaran Belanja Langsung","Pegawai",4.333e+09
240,4,5,3,"1.02.042","BLUD Puskesmas Kec. Mampang Prapatan - JAKSEL","Anggaran Belanja Langsung","Pegawai",5.787e+09
241,4,5,3,"1.02.043","BLUD Puskesmas Kec. Pancoran - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.987e+09
242,4,5,3,"1.02.044","BLUD Puskesmas Kec. Kebayoran Baru - JAKSEL","Anggaran Belanja Langsung","Pegawai",2.885e+09
243,4,5,3,"1.02.045","BLUD Puskesmas Kec. Setiabudi - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.282e+09
244,4,5,3,"1.02.046","BLUD Puskesmas Kec. Tebet - JAKSEL","Anggaran Belanja Langsung","Pegawai",5.352e+09
245,4,5,3,"1.02.047","BLUD Puskesmas Kec. Cilandak - JAKSEL","Anggaran Belanja Langsung","Pegawai",4.220e+09
247,4,5,3,"1.13.030","Sudin Sosial - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.011e+09
248,4,5,3,"1.18.014","Sudin Pemuda dan Olah Raga - JAKSEL","Anggaran Belanja Langsung","Pegawai",5.750e+09
249,4,2,2,"1.17.032","Sudin Kebudayaan - JAKSEL","Anggaran Belanja Langsung","Pegawai",5.217e+09
250,4,2,2,"1.14.015","Sudin Tenaga Kerja dan Transmigrasi - JAKSEL","Anggaran Belanja Langsung","Pegawai",2.050e+09
251,4,1,1,"1.25.005","Sudin Komunikasi, Informatika dan Kehumasan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.155e+09
253,4,4,4,"1.05.017","Sudin Perizinan Bangunan - JAKSEL","Anggaran Belanja Langsung","Pegawai",1.057e+08
254,4,4,4,"1.08.014","Sudin Pemakaman - JAKSEL","Anggaran Belanja Langsung","Pegawai",3.001e+09
255,4,5,3,"1.26.005","Kantor Perpustakaan dan Arsip Daerah - JAKSEL","Anggaran Belanja Langsung","Pegawai",6.762e+08
256,5,1,1,"1.20.269","Kota Administrasi Jakarta Timur","Anggaran Belanja Langsung","Pegawai",1.147e+10
257,5,1,1,"1.06.006","Kantor Perencanaan Pembangunan - JAKTIM","Anggaran Belanja Langsung","Pegawai",2.752e+09
258,5,1,1,"1.20.348","Inspektorat Pembantu - JAKTIM","Anggaran Belanja Langsung","Pegawai",1.992e+09
259,5,1,1,"1.19.006","Kantor Kesatuan Bangsa dan Politik - JAKTIM","Anggaran Belanja Langsung","Pegawai",3.078e+09
260,5,4,4,"1.08.018","Kantor Lingkungan Hidup - JAKTIM","Anggaran Belanja Langsung","Pegawai",4.912e+08
261,5,5,3,"1.22.006","Kantor Pemberdayaan Masyarakat dan Perempuan - JAKTIM","Anggaran Belanja Langsung","Pegawai",2.372e+09
262,5,1,1,"1.20.345","Satpol PP - JAKTIM","Anggaran Belanja Langsung","Pegawai",2.245e+10
263,5,1,1,"1.10.006","Sudin Kependudukan dan Catatan Sipil - JAKTIM","Anggaran Belanja Langsung","Pegawai",4.081e+09
264,5,1,1,"1.20.346","Sudin Pemadam Kebakaran dan Penanggulangan Bencana - JAKTIM","Anggaran Belanja Langsung","Pegawai",4.527e+08
266,5,2,2,"1.15.007","Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKTIM","Anggaran Belanja Langsung","Pegawai",3.399e+08
268,5,2,2,"2.05.013","Sudin Peternakan dan Perikanan - JAKTIM","Anggaran Belanja Langsung","Pegawai",6.246e+08
269,5,2,2,"1.21.012","Sudin Pertanian dan Kehutanan - JAKTIM","Anggaran Belanja Langsung","Pegawai",9.159e+08
270,5,2,2,"1.17.029","Sudin Pariwisata - JAKTIM","Anggaran Belanja Langsung","Pegawai",3.937e+08
271,5,3,2,"1.20.347","Sudin Pelayanan Pajak I - JAKTIM","Anggaran Belanja Langsung","Pegawai",5.190e+08
